,enrollment,indus,national_cancer_institute_(nci)_as_sponsor,location_count,us_lead,include_country_united states,number_of_measures,lead_aes,lead_mtd,lead_dlt,measure_mtd,measure_cmax,measure_os,measure_dor,measure_dlt,measure_aes,measure_tmax,condition_count,intervention_count,biological_included,drug_included,procedure_included,radiation_included,ccat,random,purp_prev,purp_treat,label_open,label_nopen,cross,y_class
166,60.0,0,False,1,0,False,4,1,0,0,False,False,True,False,False,True,False,1,1,False,False,True,False,0,1,0,1,1,0,0,0
167,11.0,0,False,1,0,False,1,0,0,0,False,False,False,False,False,False,False,2,1,False,True,False,False,0,0,0,1,1,0,0,0
168,87.0,0,True,4,1,True,5,0,0,0,False,False,False,False,False,True,False,1,2,False,False,False,False,0,1,0,0,1,0,0,0
169,11.0,0,False,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
170,17.0,1,False,3,0,False,9,0,0,1,False,False,False,False,True,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
171,36.0,1,False,9,1,True,4,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,0,1,0,0,0
172,2.0,0,False,1,1,True,6,0,1,0,True,False,True,False,False,True,False,1,3,False,True,False,False,0,0,0,1,1,0,0,0
173,26.0,1,False,6,1,True,2,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,False,0,0,0,1,1,0,0,0
174,218.0,0,False,1,0,False,3,0,0,0,False,False,True,False,False,False,False,1,3,False,True,False,False,0,1,0,1,0,1,0,0
175,65.64504283965728,0,True,2,1,True,1,0,0,0,False,False,False,False,False,False,False,2,1,False,True,False,False,0,0,0,1,0,0,0,0
176,14.0,1,False,3,1,True,5,0,0,0,False,False,False,False,False,True,False,4,3,False,True,False,False,0,1,0,1,1,0,1,0
177,12.0,0,True,11,1,True,1,0,0,0,False,False,False,False,False,False,False,1,2,True,True,False,False,0,0,0,1,1,0,0,0
178,19.0,1,False,1,0,False,5,0,0,1,False,False,True,False,True,False,False,1,4,False,True,False,False,0,0,0,1,1,0,0,0
179,122.0,1,False,40,1,True,52,0,0,0,False,True,False,False,False,True,True,1,4,False,True,False,False,1,1,0,1,0,1,0,0
180,92.0,1,False,1,1,True,18,0,1,0,True,False,True,False,False,False,False,1,9,False,True,False,False,0,0,0,1,1,0,0,1
181,56.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,3,True,True,False,False,0,0,0,1,1,0,0,1
182,55.0,0,True,1,1,True,5,0,0,0,False,False,False,False,False,False,False,1,5,False,True,False,True,1,0,0,1,1,0,0,1
183,120.0,0,True,58,1,True,9,0,0,0,True,False,True,False,False,False,False,1,9,False,False,False,True,0,0,0,1,1,0,0,1
184,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,0,0,0,0
185,32.0,0,True,1,1,True,7,0,0,0,False,False,True,False,False,False,False,1,5,False,True,True,True,0,0,0,1,1,0,0,1
186,36.0,1,False,1,0,False,6,1,0,0,False,True,False,False,False,True,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
187,37.0,1,False,1,0,False,5,0,0,1,False,True,False,False,True,False,True,1,1,False,True,False,False,0,0,0,1,1,0,0,0
188,8.0,0,True,1,1,True,3,1,0,0,False,False,False,False,False,True,False,1,7,False,True,True,False,0,0,0,1,1,0,0,1
189,12.0,0,False,3,0,False,5,0,0,0,False,False,False,False,False,False,False,1,3,True,True,False,False,0,0,0,1,1,0,0,0
190,72.0,0,True,1,1,True,3,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,True,0,0,0,1,1,0,0,0
191,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,3,False,True,False,False,1,0,0,1,0,0,0,0
192,15.0,0,False,1,0,False,2,0,0,0,False,False,False,False,False,False,False,1,1,False,False,False,False,0,0,0,1,1,0,0,1
193,55.0,0,True,1,1,True,3,0,0,0,False,False,False,False,False,False,False,1,8,False,True,True,True,0,0,0,1,1,0,0,0
194,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,7,False,True,True,True,0,1,0,1,1,0,0,0
195,64.0,1,False,1,0,False,4,1,0,0,False,False,False,False,False,True,False,1,2,False,True,False,False,1,0,0,1,1,0,0,0
196,82.0,1,False,8,1,True,8,0,1,0,True,False,True,True,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
